Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08022024,2833420358,0002309
Trade Date <08-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1348,MICEL,EQ,440930,276836,62.78
20,1349,MICROPRO,SM,17600,16000,90.91
20,1350,MID150BEES,EQ,208597,111401,53.40
20,1351,MIDCAPETF,EQ,870834,778052,89.35
20,1352,MIDCAPIETF,EQ,65535,43222,65.95
20,1353,MIDHANI,EQ,1558676,450867,28.93
20,1354,MIDSELIETF,EQ,38340,9644,25.15
20,1355,MILTON,SM,13200,13200,100.00
20,1356,MINDACORP,EQ,285343,204383,71.63
20,1357,MINDPOOL,ST,1000,1000,100.00
20,1358,MINDSPACE,RR,76563,58240,76.07
20,1359,MINDTECK,EQ,93966,51026,54.30
20,1360,MIRCELECTR,EQ,3549887,2664961,75.07
20,1361,MITTAL,EQ,34089197,17793451,52.20
20,1362,M&M,EQ,2550690,1331198,52.19
20,1363,M&MFIN,EQ,3171856,1875363,59.13
20,1364,M&MFIN,N1,1,1,100.00
20,1365,M&MFIN,N2,2245,1955,87.08
20,1366,MMFL,EQ,66498,42127,63.35
20,1367,MMP,EQ,78819,40018,50.77
20,1368,MMTC,EQ,6810428,4162392,61.12
20,1369,MODISONLTD,EQ,62872,40758,64.83
20,1370,MOGSEC,EQ,5807,5800,99.88
20,1371,MOHEALTH,EQ,31426,19115,60.83
20,1372,MOHITIND,EQ,55732,35423,63.56
20,1373,MOIL,EQ,1879608,496604,26.42
20,1374,MOKSH,EQ,1147911,772968,67.34
20,1375,MOL,EQ,985006,549831,55.82
20,1376,MOLDTECH,EQ,117620,81134,68.98
20,1377,MOLDTKPAC,EQ,109032,77762,71.32
20,1378,MOLOWVOL,EQ,13121,7307,55.69
20,1379,MOM100,EQ,269923,157024,58.17
20,1380,MOM30IETF,EQ,259065,193397,74.65
20,1381,MOM50,EQ,36349,35430,97.47
20,1382,MOMENTUM,EQ,68980,57001,82.63
20,1383,MOMOMENTUM,EQ,129386,71140,54.98
20,1384,MON100,EQ,284259,211387,74.36
20,1385,MONARCH,EQ,184121,33122,17.99
20,1386,MONIFTY500,EQ,706647,497892,70.46
20,1387,MONOPHARMA,SM,64000,44000,68.75
20,1388,MONQ50,EQ,44916,23565,52.46
20,1389,MONTECARLO,EQ,56321,27329,48.52
20,1390,MOQUALITY,EQ,3238,2551,78.78
20,1391,MOREPENLAB,EQ,6722917,2541060,37.80
20,1392,MOS,SM,496000,192000,38.71
20,1393,MOTHERSON,EQ,9369556,4519601,48.24
20,1394,MOTILALOFS,EQ,419927,171494,40.84
20,1395,MOTISONS,EQ,628625,364156,57.93
20,1396,MOVALUE,EQ,197617,140223,70.96
20,1397,MPHASIS,EQ,429043,126958,29.59
20,1398,MPSLTD,EQ,9778,5286,54.06
20,1399,MPTODAY,SM,8000,8000,100.00
20,1400,MRF,EQ,7121,2010,28.23
20,1401,MRO-TEK,EQ,190256,106468,55.96
20,1402,MRPL,EQ,4596283,1276552,27.77
20,1403,MSTCLTD,EQ,683266,226595,33.16
20,1404,MSUMI,EQ,17287587,9374025,54.22
20,1405,MTARTECH,EQ,128227,69532,54.23
20,1406,MTNL,EQ,34100098,10806918,31.69
20,1407,MUFIN,EQ,272626,160021,58.70
20,1408,MUFTI,EQ,314432,169180,53.80
20,1409,MUKANDLTD,EQ,1569481,646740,41.21
20,1410,MUNJALAU,EQ,328320,172168,52.44
20,1411,MUNJALSHOW,EQ,1272954,318708,25.04
20,1412,MUTHOOTCAP,EQ,44264,22887,51.71
20,1413,MUTHOOTFIN,EQ,553897,178070,32.15
20,1414,MUTHOOTMF,EQ,563157,223226,39.64
20,1415,MVGJL,EQ,72316,38993,53.92
20,1416,MWL,SM,132000,124800,94.55
20,1417,NABARD,N1,42,0,0.00
20,1418,NABARD,N2,60,30,50.00
20,1419,NACLIND,EQ,157069,82365,52.44
20,1420,NAGAFERT,EQ,4558756,2472253,54.23
20,1421,NAHARCAP,EQ,28272,14790,52.31
20,1422,NAHARINDUS,EQ,633957,313981,49.53
20,1423,NAHARPOLY,EQ,85164,56954,66.88
20,1424,NAHARSPING,EQ,329484,122760,37.26
20,1425,NAM-INDIA,EQ,345848,159848,46.22
20,1426,NATCOPHARM,EQ,326172,164983,50.58
20,1427,NATHBIOGEN,EQ,70916,36120,50.93
20,1428,NATIONALUM,EQ,20015275,6648335,33.22
20,1429,NAUKRI,EQ,313465,184143,58.74
20,1430,NAVA,EQ,248449,126275,50.83
20,1431,NAVIFIN,N0,104,104,100.00
20,1432,NAVIFIN,N5,180,180,100.00
20,1433,NAVIFIN,N6,50,50,100.00
20,1434,NAVIFIN,N7,300,300,100.00
20,1435,NAVINFLUOR,EQ,528933,310780,58.76
20,1436,NAVINIFTY,EQ,667,451,67.62
20,1437,NAVKARCORP,EQ,2291751,1220926,53.27
20,1438,NAVNETEDUL,EQ,877935,460819,52.49
20,1439,NAZARA,EQ,145097,51511,35.50
20,1440,NBCC,EQ,21484102,8027181,37.36
20,1441,NBIFIN,EQ,116,76,65.52
20,1442,NCC,EQ,6432346,2281697,35.47
20,1443,NCLIND,EQ,217492,102109,46.95
20,1444,NDL,EQ,843804,562376,66.65
20,1445,NDLVENTURE,EQ,62556,30919,49.43
20,1446,NDTV,EQ,288092,116484,40.43
20,1447,NECLIFE,EQ,3434829,1457529,42.43
20,1448,NELCAST,EQ,140366,82211,58.57
20,1449,NELCO,EQ,58029,28022,48.29
20,1450,NEOGEN,EQ,35693,19851,55.62
20,1451,NESCO,EQ,45219,21369,47.26
20,1452,NESTLEIND,EQ,1654447,887432,53.64
20,1453,NETF,EQ,1883,1050,55.76
20,1454,NEULANDLAB,EQ,37528,20751,55.29
20,1455,NEWJAISA,SM,72000,42000,58.33
20,1456,NEXT50,EQ,745,370,49.66
20,1457,NEXT50IETF,EQ,135597,64439,47.52
20,1458,NFL,EQ,4126810,1430874,34.67
20,1459,NGIL,EQ,358925,192352,53.59
20,1460,NGLFINE,EQ,3106,1829,58.89
20,1461,NH,EQ,411064,306549,74.57
20,1462,NHAI,N2,232,232,100.00
20,1463,NHAI,N5,53,50,94.34
20,1464,NHAI,N6,564,564,100.00
20,1465,NHAI,N8,270,270,100.00
20,1466,NHAI,NA,1250,1200,96.00
20,1467,NHAI,NC,17,17,100.00
20,1468,NHAI,NE,50,50,100.00
20,1469,NHBTF2014,N3,9000,9000,100.00
20,1470,NHBTF2014,N5,10,10,100.00
20,1471,NHBTF2014,N6,247,210,85.02
20,1472,NHBTF2023,N6,8,8,100.00
20,1473,NHIT,N1,473,473,100.00
20,1474,NHIT,N2,122,122,100.00
20,1475,NHIT,N3,189,189,100.00
20,1476,NHPC,EQ,117672992,39072772,33.20
20,1477,NIACL,EQ,20964304,2995818,14.29
20,1478,NIDAN,SM,51000,39000,76.47
20,1479,NIF100BEES,EQ,13505,9956,73.72
20,1480,NIF100IETF,EQ,18214,14475,79.47
20,1481,NIF5GETF,EQ,2,2,100.00
20,1482,NIFITETF,EQ,1241,570,45.93
20,1483,NIFMID150,EQ,1468,738,50.27
20,1484,NIFTYBEES,EQ,3757539,2623834,69.83
20,1485,NIFTYBETF,EQ,2093,1762,84.19
20,1486,NIFTYETF,EQ,35370,32770,92.65
20,1487,NIFTYIETF,EQ,437154,283822,64.92
20,1488,NIFTYQLITY,EQ,57698,37710,65.36
20,1489,NIITLTD,EQ,9925222,3202443,32.27
20,1490,NIITMTS,EQ,565100,337054,59.65
20,1491,NILAINFRA,EQ,9920503,5211118,52.53
20,1492,NILKAMAL,EQ,3758,1595,42.44
20,1493,NINSYS,EQ,4579,2116,46.21
20,1494,NIPPOBATRY,EQ,30778,16639,54.06
20,1495,NIRMAN,SM,60000,48600,81.00
20,1496,NITINSPIN,EQ,119927,53110,44.29
20,1497,NITIRAJ,EQ,18332,13342,72.78
20,1498,NLCINDIA,EQ,6712178,1929896,28.75
20,1499,NMDC,EQ,9122867,3599063,39.45
20,1500,NOCIL,EQ,2858237,1288421,45.08
20,1501,NPBET,EQ,9928,8844,89.08
20,1502,NPST,SM,17700,15600,88.14
20,1503,NRAIL,EQ,11862,7421,62.56
20,1504,NRBBEARING,EQ,124554,47668,38.27
20,1505,NRL,EQ,2453518,811664,33.08
20,1506,NSIL,EQ,7529,4461,59.25
20,1507,NSLNISP,EQ,8851157,3613335,40.82
20,1508,NTPC,EQ,17754869,9519173,53.61
20,1509,NTPC,N7,42019,41448,98.64
20,1510,NTPC,NB,157,157,100.00
20,1511,NTPC,ND,103,103,100.00
20,1512,NURECA,EQ,65870,37399,56.78
20,1513,NUVAMA,EQ,81097,44825,55.27
20,1514,NUVOCO,EQ,128091,69689,54.41
20,1515,NV20BEES,EQ,12212,8830,72.31
20,1516,NV20IETF,EQ,34134,18852,55.23
20,1517,NXST,RR,118949,99886,83.97
20,1518,NYKAA,EQ,12464844,7565869,60.70
20,1519,OAL,EQ,14964,9615,64.25
20,1520,OBCL,EQ,93896,47489,50.58
20,1521,OBEROIRLTY,EQ,1159485,579758,50.00
20,1522,OCCL,EQ,21457,15366,71.61
20,1523,OFSS,EQ,390965,110066,28.15
20,1524,OIL,EQ,9475104,3505679,37.00
20,1525,OLECTRA,EQ,795827,240734,30.25
20,1526,OLIL,SM,24000,24000,100.00
20,1527,OMAXE,EQ,694022,381856,55.02
20,1528,OMFURN,SM,7200,7200,100.00
20,1529,ONDOOR,SM,16800,12600,75.00
20,1530,ONGC,EQ,25252940,10023082,39.69
20,1531,ONMOBILE,EQ,763278,388095,50.85
20,1532,ONWARDTEC,EQ,85492,42587,49.81
20,1533,OPTIEMUS,EQ,117223,65059,55.50
20,1534,ORBTEXP,EQ,65406,38848,59.40
20,1535,ORCHPHARMA,EQ,177866,79884,44.91
20,1536,ORIANA,SM,82200,48900,59.49
20,1537,ORICONENT,EQ,879692,480041,54.57
20,1538,ORIENTALTL,EQ,1106262,748648,67.67
20,1539,ORIENTBELL,EQ,8453,5440,64.36
20,1540,ORIENTCEM,EQ,371052,199038,53.64
20,1541,ORIENTCER,EQ,534787,268848,50.27
20,1542,ORIENTELEC,EQ,820165,543637,66.28
20,1543,ORIENTHOT,EQ,886215,410676,46.34
20,1544,ORIENTLTD,EQ,16005,9512,59.43
20,1545,ORIENTPPR,EQ,3155314,1298105,41.14
20,1546,ORISSAMINE,EQ,11717,4949,42.24
20,1547,ORTINLAB,EQ,16036,12267,76.50
20,1548,OSWALAGRO,EQ,238111,118990,49.97
20,1549,OSWALGREEN,EQ,897819,498412,55.51
20,1550,OSWALSEEDS,EQ,42067,28855,68.59
20,1551,PAGEIND,EQ,37263,10167,27.28
20,1552,PAISALO,EQ,3588414,2650888,73.87
20,1553,PAKKA,EQ,1062789,432617,40.71
20,1554,PALASHSECU,EQ,3041,2317,76.19
20,1555,PALREDTEC,EQ,43186,26522,61.41
20,1556,PANACEABIO,EQ,229358,110959,48.38
20,1557,PANACHE,EQ,42488,24736,58.22
20,1558,PANAMAPET,EQ,125339,65393,52.17
20,1559,PANSARI,EQ,3723,1228,32.98
20,1560,PAR,EQ,44984,32121,71.41
20,1561,PARACABLES,EQ,1086449,701399,64.56
20,1562,PARADEEP,EQ,66120706,25136335,38.02
20,1563,PARAGMILK,EQ,8562319,2866803,33.48
20,1564,PARAGON,SM,19200,14400,75.00
20,1565,PARAS,EQ,1121377,412975,36.83
20,1566,PARIN,SM,2000,2000,100.00
20,1567,PARTYCRUS,SM,8000,8000,100.00
20,1568,PASUPTAC,EQ,1366007,663352,48.56
20,1569,PATANJALI,EQ,1033102,543706,52.63
20,1570,PATELENG,EQ,7234682,3070505,42.44
20,1571,PATINTLOG,EQ,3529822,1719368,48.71
20,1572,PATTECH,SM,3000,3000,100.00
20,1573,PAYTM,EQ,21240680,9682260,45.58
20,1574,PCBL,EQ,7899121,2580287,32.67
20,1575,PCHFL,N6,166,166,100.00
20,1576,PCHFL,NA,500,500,100.00
20,1577,PCJEWELLER,EQ,2004927,1232339,61.47
20,1578,PDMJEPAPER,EQ,315302,188796,59.88
20,1579,PDSL,EQ,309139,193259,62.52
20,1580,PEARLPOLY,EQ,1449295,642518,44.33
20,1581,PEL,EQ,1049267,487589,46.47
20,1582,PEL,N2,300,300,100.00
20,1583,PEL,N3,2,1,50.00
20,1584,PENIND,EQ,1053321,559796,53.15
20,1585,PENINLAND,EQ,3957408,1630878,41.21
20,1586,PENTAGON,SM,21000,19000,90.48
20,1587,PERFECT,ST,654000,630000,96.33
20,1588,PERSISTENT,EQ,112870,48831,43.26
20,1589,PETRONET,EQ,5354700,3267565,61.02
20,1590,PFC,EQ,14788511,4005683,27.09
20,1591,PFC,N5,221,221,100.00
20,1592,PFC,N8,1799,897,49.86
20,1593,PFIZER,EQ,10495,3903,37.19
20,1594,PFOCUS,EQ,134460,52374,38.95
20,1595,PGEL,EQ,67759,34711,51.23
20,1596,PGHH,EQ,17229,15105,87.67
20,1597,PGHL,EQ,24867,14280,57.43
20,1598,PGINVIT,IV,1526282,1446586,94.78
20,1599,PHANTOMFX,SM,36000,28800,80.00
20,1600,PHARMABEES,EQ,2660781,1749029,65.73
20,1601,PHOENIXLTD,EQ,590181,331144,56.11
20,1602,PIDILITIND,EQ,316600,175836,55.54
20,1603,PIGL,EQ,69759,48741,69.87
20,1604,PIIND,EQ,871825,515555,59.14
20,1605,PILANIINVS,EQ,3602,2057,57.11
20,1606,PILITA,EQ,2394715,1316637,54.98
20,1607,PITTIENG,EQ,279009,104238,37.36
20,1608,PIXTRANS,EQ,12487,7542,60.40
20,1609,PLADAINFO,SM,6000,6000,100.00
20,1610,PLASTIBLEN,EQ,31171,13793,44.25
20,1611,PNB,EQ,83500656,17336188,20.76
20,1612,PNBGILTS,EQ,933594,378950,40.59
20,1613,PNBHOUSING,EQ,388707,167753,43.16
20,1614,PNC,EQ,93920,35025,37.29
20,1615,PNCINFRA,EQ,873001,429075,49.15
20,1616,POCL,EQ,123730,73000,59.00
20,1617,PODDARMENT,EQ,821,550,66.99
20,1618,POKARNA,EQ,108914,48970,44.96
20,1619,POLICYBZR,EQ,1063090,579823,54.54
20,1620,POLYCAB,EQ,448325,216804,48.36
20,1621,POLYMED,EQ,37606,15253,40.56
20,1622,POLYPLEX,EQ,49350,27961,56.66
20,1623,PONNIERODE,EQ,107418,48231,44.90
20,1624,POONAWALLA,EQ,1234193,671906,54.44
20,1625,POWERGRID,EQ,69776717,27261202,39.07
20,1626,POWERINDIA,EQ,21718,8340,38.40
20,1627,POWERMECH,EQ,18884,8961,47.45
20,1628,PPAP,EQ,22226,9986,44.93
20,1629,PPL,EQ,109647,49808,45.43
20,1630,PPLPHARMA,EQ,5649628,3110845,55.06
20,1631,PRAJIND,EQ,971071,524485,54.01
20,1632,PRAKASH,EQ,803569,554691,69.03
20,1633,PRAMARA,SM,20000,18000,90.00
20,1634,PRECAM,EQ,213487,98609,46.19
20,1635,PRECISION,SM,32000,18000,56.25
20,1636,PRECOT,EQ,34901,19073,54.65
20,1637,PRECWIRE,EQ,1973174,501110,25.40
20,1638,PREMEXPLN,EQ,27649,18159,65.68
20,1639,PRESSTONIC,SM,94400,64000,67.80
20,1640,PRESTIGE,EQ,611497,451676,73.86
20,1641,PRICOLLTD,EQ,721921,306535,42.46
20,1642,PRIMESECU,EQ,38892,28744,73.91
20,1643,PRINCEPIPE,EQ,204945,85755,41.84
20,1644,PRITIKA,SM,42000,30000,71.43
20,1645,PRIVISCL,EQ,16946,10238,60.42
20,1646,PROLIFE,SM,3000,3000,100.00
20,1647,PROPEQUITY,SM,8400,8400,100.00
20,1648,PROV,SM,2880,2560,88.89
20,1649,PROZONER,EQ,2964840,1343647,45.32
20,1650,PRSMJOHNSN,EQ,252937,149995,59.30
20,1651,PRUDENT,EQ,20772,9967,47.98
20,1652,PSB,EQ,12174437,4125250,33.88
20,1653,PSPPROJECT,EQ,224506,124359,55.39
20,1654,PSUBNKBEES,EQ,7343819,3397988,46.27
20,1655,PSUBNKIETF,EQ,941252,387080,41.12
20,1656,PTC,EQ,2488872,1049046,42.15
20,1657,PTCIL,EQ,41957,13431,32.01
20,1658,PTL,EQ,405530,240402,59.28
20,1659,PULZ,SM,88000,60000,68.18
20,1660,PUNJABCHEM,EQ,15628,8487,54.31
20,1661,PURVA,EQ,459678,198984,43.29
20,1662,PVP,EQ,819914,490691,59.85
20,1663,PVRINOX,EQ,1371606,916573,66.82
20,1664,PVTBANIETF,EQ,649845,516821,79.53
20,1665,PYRAMID,EQ,613404,290654,47.38
20,1666,QFIL,SM,2000,2000,100.00
20,1667,QGOLDHALF,EQ,8664,5400,62.33
20,1668,QMSMEDI,SM,26000,25000,96.15
20,1669,QNIFTY,EQ,2429,2243,92.34
20,1670,QUADPRO,ST,60000,60000,100.00
20,1671,QUAL30IETF,EQ,778,440,56.56
20,1672,QUESS,EQ,394793,265905,67.35
20,1673,QUICKHEAL,EQ,238172,86812,36.45
20,1674,QUICKTOUCH,SM,8500,7500,88.24
20,1675,RACE,EQ,5746,2833,49.30
20,1676,RADHIKAJWE,EQ,823035,477725,58.04
20,1677,RADIANTCMS,EQ,399971,230533,57.64
20,1678,RADICO,EQ,150004,64273,42.85
20,1679,RADIOCITY,EQ,8999518,3449520,38.33
20,1680,RADIOCITY,P1,9620,9620,100.00
20,1681,RAILTEL,EQ,8199828,2933610,35.78
20,1682,RAIN,EQ,4848774,1951592,40.25
20,1683,RAINBOW,EQ,143005,92005,64.34
20,1684,RAJESHEXPO,EQ,371468,213539,57.49
20,1685,RAJRATAN,EQ,92445,56000,60.58
20,1686,RAJSREESUG,EQ,329898,179897,54.53
20,1687,RALLIS,EQ,547179,269490,49.25
20,1688,RAMANEWS,EQ,1453883,707927,48.69
20,1689,RAMAPHO,EQ,156005,80966,51.90
20,1690,RAMASTEEL,EQ,3242614,1687163,52.03
20,1691,RAMCOCEM,EQ,292582,100954,34.50
20,1692,RAMCOIND,EQ,1412767,342461,24.24
20,1693,RAMCOSYS,EQ,151258,70452,46.58
20,1694,RAMKY,EQ,245626,121850,49.61
20,1695,RAMRAT,EQ,53691,28666,53.39
20,1696,RANASUG,EQ,3395714,1515201,44.62
20,1697,RANEENGINE,EQ,6204,3369,54.30
20,1698,RANEHOLDIN,EQ,10561,5530,52.36
20,1699,RATEGAIN,EQ,200980,92193,45.87
20,1700,RATNAMANI,EQ,24541,11391,46.42
20,1701,RATNAVEER,EQ,4655699,1774621,38.12
20,1702,RAYMOND,EQ,66398,30898,46.53
20,1703,RBA,EQ,2557793,1327246,51.89
20,1704,RBL,EQ,17599,6708,38.12
20,1705,RBLBANK,EQ,7937169,2514575,31.68
20,1706,RBMINFRA,ST,9000,9000,100.00
20,1707,RBZJEWEL,EQ,155630,88578,56.92
20,1708,RCDL,SM,18000,15000,83.33
20,1709,RCF,EQ,2815251,972360,34.54
20,1710,RECLTD,EQ,13436922,4326558,32.20
20,1711,RECLTD,N2,22,22,100.00
20,1712,RECLTD,N9,1637,1552,94.81
20,1713,RECLTD,NE,135,135,100.00
20,1714,RECLTD,NH,100,100,100.00
20,1715,REDINGTON,EQ,1559871,659607,42.29
20,1716,REDTAPE,EQ,102663,60737,59.16
20,1717,REFEX,EQ,111478,69698,62.52
20,1718,RELAXO,EQ,66946,44620,66.65
20,1719,RELIANCE,EQ,7347317,3335852,45.40
20,1720,RELIGARE,EQ,1477638,897390,60.73
20,1721,RELINFRA,EQ,3543816,1805634,50.95
20,1722,REMUS,SM,3175,2175,68.50
20,1723,RENUKA,EQ,18928783,8329132,44.00
20,1724,REPCOHOME,EQ,249767,113773,45.55
20,1725,REPL,EQ,15424,8491,55.05
20,1726,REPRO,EQ,5612,3164,56.38
20,1727,RESPONIND,EQ,271912,80311,29.54
20,1728,REXPIPES,SM,2000,2000,100.00
20,1729,RGL,EQ,70663,41469,58.69
20,1730,RHIM,EQ,217602,128542,59.07
20,1731,RHL,EQ,13567,8505,62.69
20,1732,RICOAUTO,EQ,2750260,1183701,43.04
20,1733,RIIL,EQ,694076,186305,26.84
20,1734,RILINFRA,SM,13600,12900,94.85
20,1735,RISHABH,EQ,57471,26108,45.43
20,1736,RITCO,EQ,254652,126246,49.58
20,1737,RITES,EQ,4960895,1008366,20.33
20,1738,RITEZONE,SM,11200,9600,85.71
20,1739,RKEC,EQ,232058,138895,59.85
20,1740,RKFORGE,EQ,179669,85670,47.68
20,1741,RMDRIP,SM,4000,4000,100.00
20,1742,RML,EQ,10764,5121,47.58
20,1743,ROCKINGDCE,SM,36000,24000,66.67
20,1744,ROHLTD,EQ,146912,57256,38.97
20,1745,ROLEXRINGS,EQ,103030,85954,83.43
20,1746,ROML,EQ,8002,5139,64.22
20,1747,ROSSARI,EQ,106851,54260,50.78
20,1748,ROSSELLIND,EQ,23427,12090,51.61
20,1749,ROTO,EQ,160744,90727,56.44
20,1750,ROUTE,EQ,127431,96847,76.00
20,1751,ROXHITECH,SM,60800,51200,84.21
20,1752,RPGLIFE,EQ,12924,7207,55.76
20,1753,RPPL,EQ,43633,27792,63.69
20,1754,RPSGVENT,EQ,76862,43406,56.47
20,1755,RRKABEL,EQ,77292,39623,51.26
20,1756,RSSOFTWARE,EQ,29091,29079,99.96
20,1757,RSWM,EQ,266230,154378,57.99
20,1758,RSYSTEMS,EQ,65115,38659,59.37
20,1759,RTNINDIA,EQ,23977265,5811205,24.24
20,1760,RTNPOWER,EQ,122108132,55124499,45.14
20,1761,RUBYMILLS,EQ,129575,63322,48.87
20,1762,RUCHIRA,EQ,96698,50962,52.70
20,1763,RUPA,EQ,1589503,639831,40.25
20,1764,RUSHIL,EQ,185627,111119,59.86
20,1765,RUSTOMJEE,EQ,13222,5814,43.97
20,1766,RVNL,EQ,9231980,2957242,32.03
20,1767,SAAKSHI,SM,42000,30000,71.43
20,1768,SADBHAV,EQ,5879176,3426629,58.28
20,1769,SADHNANIQ,EQ,455367,280874,61.68
20,1770,SAFARI,EQ,94549,57668,60.99
20,1771,SAGCEM,EQ,116532,47742,40.97
20,1772,SAH,EQ,148045,83208,56.20
20,1773,SAHAJ,SM,12000,12000,100.00
20,1774,SAHANA,SM,12000,10500,87.50
20,1775,SAHYADRI,EQ,19752,11530,58.37
20,1776,SAIFL,SM,152000,88800,58.42
20,1777,SAIL,EQ,34821242,13563837,38.95
20,1778,SAKAR,EQ,30573,25400,83.08
20,1779,SAKHTISUG,EQ,19433994,6579550,33.86
20,1780,SAKUMA,EQ,4403774,1456811,33.08
20,1781,SALASAR,EQ,23307951,16126934,69.19
20,1782,SALONA,EQ,17076,9855,57.71
20,1783,SALZERELEC,EQ,705532,160202,22.71
20,1784,SAMBHAAV,EQ,1937011,1573870,81.25
20,1785,SAMHI,EQ,1910018,1138157,59.59
20,1786,SANDESH,EQ,2080,1360,65.38
20,1787,SANDHAR,EQ,155204,84705,54.58
20,1788,SANDUMA,EQ,122878,69781,56.79
20,1789,SANGAMIND,EQ,70931,33056,46.60
20,1790,SANGANI,SM,48000,42000,87.50
20,1791,SANGHIIND,EQ,347461,166975,48.06
20,1792,SANGHVIMOV,EQ,1004483,283474,28.22
20,1793,SANOFI,EQ,5729,2552,44.55
20,1794,SANSERA,EQ,104391,63764,61.08
20,1795,SAPPHIRE,EQ,207947,176749,85.00
20,1796,SARDAEN,EQ,447689,265741,59.36
20,1797,SAREGAMA,EQ,271775,135594,49.89
20,1798,SARLAPOLY,EQ,4628738,1563433,33.78
20,1799,SAROJA,SM,4800,4800,100.00
20,1800,SARTELE,SM,278000,166000,59.71
20,1801,SARVESHWAR,EQ,44480365,23127585,52.00
20,1802,SASKEN,EQ,36965,17208,46.55
20,1803,SASTASUNDR,EQ,52437,28570,54.48
20,1804,SATIA,EQ,380349,197530,51.93
20,1805,SATIN,EQ,858786,412682,48.05
20,1806,SATINDLTD,EQ,1043617,431404,41.34
20,1807,SBC,EQ,1607136,1122138,69.82
20,1808,SBCL,EQ,479518,216354,45.12
20,1809,SBFC,EQ,1586041,689333,43.46
20,1810,SBGLP,EQ,30476,7733,25.37
20,1811,SBICARD,EQ,1907311,1177751,61.75
20,1812,SBIETFCON,EQ,4128,2737,66.30
20,1813,SBIETFIT,EQ,8735,7631,87.36
20,1814,SBIETFPB,EQ,27833,20144,72.37
20,1815,SBIETFQLTY,EQ,9982,7462,74.75
20,1816,SBILIFE,EQ,1679065,780324,46.47
20,1817,SBIN,EQ,74222434,31713090,42.73
20,1818,SCHAEFFLER,EQ,31202,20030,64.19
20,1819,SCHAND,EQ,466042,252757,54.23
20,1820,SCHNEIDER,EQ,856620,438807,51.23
20,1821,SCI,EQ,7668146,1995056,26.02
20,1822,SCML,SM,36000,28000,77.78
20,1823,SCPL,EQ,21238,11978,56.40
20,1824,SDBL,EQ,230142,142122,61.75
20,1825,SDL24BEES,EQ,3516,3208,91.24
20,1826,SDL26BEES,EQ,100267,100063,99.80
20,1827,SECL,SM,25000,25000,100.00
20,1828,SECURCRED,EQ,121773,84440,69.34
20,1829,SEL,ST,14400,12000,83.33
20,1830,SELAN,EQ,39218,20429,52.09
20,1831,SEMAC,EQ,1588,953,60.01
20,1832,SENCO,EQ,205678,103424,50.28
20,1833,SENSEXETF,EQ,2804,1805,64.37
20,1834,SENSEXIETF,EQ,5512,5216,94.63
20,1835,SEPC,EQ,7613274,4549322,59.76
20,1836,SEQUENT,EQ,1363961,644338,47.24
20,1837,SESHAPAPER,EQ,38196,18243,47.76
20,1838,SETF10GILT,EQ,21079,19958,94.68
20,1839,SETFGOLD,EQ,265429,174374,65.70
20,1840,SETFNIF50,EQ,1669635,1639518,98.20
20,1841,SETFNIFBK,EQ,116395,79838,68.59
20,1842,SETFNN50,EQ,23091,18764,81.26
20,1843,SFL,EQ,52847,33134,62.70
20,1844,SGBAPR28I,GB,171,116,67.84
20,1845,SGBAUG24,GB,412,253,61.41
20,1846,SGBAUG27,GB,3,3,100.00
20,1847,SGBAUG28V,GB,862,668,77.49
20,1848,SGBAUG29V,GB,129,104,80.62
20,1849,SGBAUG30,GB,158,116,73.42
20,1850,SGBD29VIII,GB,244,205,84.02
20,1851,SGBDC27VII,GB,18,18,100.00
20,1852,SGBDE30III,GB,433,219,50.58
20,1853,SGBDE31III,GB,8842,8443,95.49
20,1854,SGBDEC25,GB,2,2,100.00
20,1855,SGBDEC25XI,GB,1,1,100.00
20,1856,SGBDEC26,GB,5,5,100.00
20,1857,SGBFEB27,GB,14,14,100.00
20,1858,SGBFEB28IX,GB,13,13,100.00
20,1859,SGBFEB29XI,GB,93,93,100.00
20,1860,SGBJ28VIII,GB,2,2,100.00
20,1861,SGBJAN26,GB,1,1,100.00
20,1862,SGBJAN27,GB,3,3,100.00
20,1863,SGBJAN29IX,GB,463,349,75.38
20,1864,SGBJAN29X,GB,253,244,96.44
20,1865,SGBJAN30IX,GB,119,99,83.19
20,1866,SGBJU29III,GB,306,220,71.90
20,1867,SGBJUL25,GB,1,1,100.00
20,1868,SGBJUL28IV,GB,265,246,92.83
20,1869,SGBJUL29IV,GB,218,166,76.15
20,1870,SGBJUN27,GB,3,3,100.00
20,1871,SGBJUN28,GB,65,65,100.00
20,1872,SGBJUN29II,GB,95,95,100.00
20,1873,SGBJUN30,GB,102,96,94.12
20,1874,SGBJUN31I,GB,1305,1033,79.16
20,1875,SGBMAR24,GB,19,19,100.00
20,1876,SGBMAR25,GB,76,63,82.89
20,1877,SGBMAR28X,GB,101,98,97.03
20,1878,SGBMAR30X,GB,137,130,94.89
20,1879,SGBMAR31IV,GB,172,134,77.91
20,1880,SGBMAY25,GB,33,28,84.85
20,1881,SGBMAY26,GB,37,32,86.49
20,1882,SGBMAY28,GB,54,54,100.00
