Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,08022024,2833420358,0002309
Trade Date <08-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1040,ITETF,EQ,28243,17695,62.65
20,1041,ITI,EQ,1412150,389923,27.61
20,1042,ITIETF,EQ,468444,236652,50.52
20,1043,IVZINGOLD,EQ,16,9,56.25
20,1044,JAGRAN,EQ,414018,203032,49.04
20,1045,JAGSNPHARM,EQ,85594,49416,57.73
20,1046,JAICORPLTD,EQ,433227,242442,55.96
20,1047,JAINAM,SM,4000,3000,75.00
20,1048,JAIPURKURT,EQ,18469,15492,83.88
20,1049,JALAN,SM,21000,15000,71.43
20,1050,JAMNAAUTO,EQ,7760814,3559376,45.86
20,1051,JASH,EQ,11392,7485,65.70
20,1052,JAYAGROGN,EQ,35353,20237,57.24
20,1053,JAYBARMARU,EQ,225530,143221,63.50
20,1054,JAYNECOIND,EQ,1283879,980821,76.40
20,1055,JAYSREETEA,EQ,328159,164109,50.01
20,1056,JBCHEPHARM,EQ,191133,108922,56.99
20,1057,JBMA,EQ,53529,33704,62.96
20,1058,JCHAC,EQ,23350,12620,54.05
20,1059,JETFREIGHT,EQ,126776,96187,75.87
20,1060,JFLLIFE,SM,12000,12000,100.00
20,1061,JHS,EQ,659736,477082,72.31
20,1062,JINDALPHOT,EQ,15966,6673,41.80
20,1063,JINDALPOLY,EQ,20865,9144,43.82
20,1064,JINDALSAW,EQ,3229212,1633929,50.60
20,1065,JINDALSTEL,EQ,2204316,828275,37.58
20,1066,JINDRILL,EQ,32487,17775,54.71
20,1067,JINDWORLD,EQ,387677,114945,29.65
20,1068,JIOFIN,EQ,21948925,12128232,55.26
20,1069,JISLDVREQS,EQ,75758,50917,67.21
20,1070,JISLJALEQS,EQ,4844747,2086029,43.06
20,1071,JIWANRAM,SM,36000,30000,83.33
20,1072,J&KBANK,EQ,6701418,2204493,32.90
20,1073,JKCEMENT,EQ,66828,29380,43.96
20,1074,JKIL,EQ,334616,181580,54.27
20,1075,JKLAKSHMI,EQ,143233,68939,48.13
20,1076,JKPAPER,EQ,2453321,1206189,49.17
20,1077,JKTYRE,EQ,936721,641095,68.44
20,1078,JLHL,EQ,25475,14844,58.27
20,1079,JMA,EQ,82225,60838,73.99
20,1080,JMFINANCIL,EQ,2577272,1081126,41.95
20,1081,JOCIL,EQ,146996,85603,58.23
20,1082,JPASSOCIAT,EQ,50128768,23037775,45.96
20,1083,JPOLYINVST,EQ,10757,6409,59.58
20,1084,JPPOWER,EQ,347090025,114779254,33.07
20,1085,JSL,EQ,1667942,654387,39.23
20,1086,JSLL,SM,122040,113940,93.36
20,1087,JSWENERGY,EQ,5703530,1863301,32.67
20,1088,JSWHL,EQ,1593,552,34.65
20,1089,JSWINFRA,EQ,3799484,2460367,64.76
20,1090,JSWSTEEL,EQ,2294805,645231,28.12
20,1091,JTEKTINDIA,EQ,99020,44336,44.77
20,1092,JTLIND,EQ,924502,475795,51.47
20,1093,JUBLFOOD,EQ,4024020,2795207,69.46
20,1094,JUBLINDS,EQ,16326,9432,57.77
20,1095,JUBLINGREA,EQ,136924,76267,55.70
20,1096,JUBLPHARMA,EQ,163585,72732,44.46
20,1097,JUNIORBEES,EQ,221522,167367,75.55
20,1098,JUSTDIAL,EQ,5064938,731070,14.43
20,1099,JWL,EQ,2643378,1217591,46.06
20,1100,JYOTHYLAB,EQ,954298,464363,48.66
20,1101,JYOTICNC,EQ,503466,228588,45.40
20,1102,KABRAEXTRU,EQ,28392,14753,51.96
20,1103,KAJARIACER,EQ,133920,89363,66.73
20,1104,KAKATCEM,EQ,28473,16220,56.97
20,1105,KALAMANDIR,EQ,332941,154263,46.33
20,1106,KALYANKJIL,EQ,17258388,6849176,39.69
20,1107,KAMATHOTEL,EQ,68517,41998,61.30
20,1108,KAMDHENU,EQ,731729,276267,37.76
20,1109,KAMOPAINTS,EQ,3128769,1259756,40.26
20,1110,KANDARP,SM,44000,40000,90.91
20,1111,KANORICHEM,EQ,71819,53635,74.68
20,1112,KANPRPLA,EQ,57151,32589,57.02
20,1113,KANSAINER,EQ,879350,559925,63.67
20,1114,KARNIKA,SM,86400,81600,94.44
20,1115,KARURVYSYA,EQ,1307154,520192,39.80
20,1116,KAYA,EQ,76984,57312,74.45
20,1117,KAYNES,EQ,206876,165276,79.89
20,1118,KBCGLOBAL,EQ,6007604,4480515,74.58
20,1119,KCEIL,SM,126000,68000,53.97
20,1120,KCP,EQ,551330,264036,47.89
20,1121,KCPSUGIND,EQ,1564294,760517,48.62
20,1122,KDDL,EQ,8885,4668,52.54
20,1123,KDL,SM,18400,15600,84.78
20,1124,KEC,EQ,973628,263852,27.10
20,1125,KECL,EQ,817056,457501,55.99
20,1126,KEI,EQ,177028,92425,52.21
20,1127,KEL,SM,15600,13200,84.62
20,1128,KELLTONTEC,EQ,1587941,624831,39.35
20,1129,KESORAMIND,EQ,1957337,1308755,66.86
20,1130,KEYFINSERV,EQ,18785,9067,48.27
20,1131,KFINTECH,EQ,428747,228029,53.18
20,1132,KHADIM,EQ,59026,40914,69.32
20,1133,KHAICHEM,EQ,399788,217924,54.51
20,1134,KHAITANLTD,EQ,12292,8418,68.48
20,1135,KHANDSE,EQ,28668,18658,65.08
20,1136,KHFM,SM,43400,31000,71.43
20,1137,KICL,EQ,12668,6595,52.06
20,1138,KILITCH,EQ,17100,11135,65.12
20,1139,KIMS,EQ,51406,28119,54.70
20,1140,KINGFA,EQ,11809,9686,82.02
20,1141,KIOCL,EQ,954723,214088,22.42
20,1142,KIRIINDUS,EQ,294169,137033,46.58
20,1143,KIRLOSBROS,EQ,120323,72932,60.61
20,1144,KIRLOSENG,EQ,627745,300871,47.93
20,1145,KIRLOSIND,EQ,3622,1853,51.16
20,1146,KIRLPNU,EQ,46114,23673,51.34
20,1147,KITEX,EQ,241937,111419,46.05
20,1148,KKCL,EQ,47279,23255,49.19
20,1149,KKVAPOW,SM,468,468,100.00
20,1150,KLL,SM,41600,35200,84.62
20,1151,KMSUGAR,EQ,1086328,492944,45.38
20,1152,KNAGRI,SM,11200,5600,50.00
20,1153,KNRCON,EQ,1478186,654191,44.26
20,1154,KODYTECH,SM,19200,17600,91.67
20,1155,KOKUYOCMLN,EQ,149888,66973,44.68
20,1156,KOLTEPATIL,EQ,138494,69632,50.28
20,1157,KONSTELEC,ST,612000,530000,86.60
20,1158,KONTOR,SM,8400,8400,100.00
20,1159,KOPRAN,EQ,1388917,581495,41.87
20,1160,KORE,SM,23500,20000,85.11
20,1161,KOTAKALPHA,EQ,365445,211095,57.76
20,1162,KOTAKBANK,EQ,4542774,2649211,58.32
20,1163,KOTAKBKETF,EQ,42621,37833,88.77
20,1164,KOTAKCONS,EQ,1084,881,81.27
20,1165,KOTAKGOLD,EQ,257471,209759,81.47
20,1166,KOTAKIT,EQ,32990,18182,55.11
20,1167,KOTAKLIQ,EQ,530,500,94.34
20,1168,KOTAKLOVOL,EQ,715652,703255,98.27
20,1169,KOTAKMID50,EQ,22708,10066,44.33
20,1170,KOTAKMNC,EQ,16471,11981,72.74
20,1171,KOTAKNIFTY,EQ,42311,21610,51.07
20,1172,KOTAKNV20,EQ,25147,15742,62.60
20,1173,KOTAKPSUBK,EQ,72520,34551,47.64
20,1174,KOTAKSILVE,EQ,9814,8144,82.98
20,1175,KOTARISUG,EQ,782258,448687,57.36
20,1176,KOTHARIPET,EQ,70118,44802,63.90
20,1177,KOTHARIPRO,EQ,33393,19105,57.21
20,1178,KOTYARK,SM,21000,15200,72.38
20,1179,KPIGREEN,EQ,452302,254548,56.28
20,1180,KPIL,EQ,344064,142276,41.35
20,1181,KPITTECH,EQ,1760816,765051,43.45
20,1182,KPRMILL,EQ,307412,233987,76.12
20,1183,KRBL,EQ,189490,95185,50.23
20,1184,KREBSBIO,EQ,23383,9333,39.91
20,1185,KRISHANA,EQ,43850,28569,65.15
20,1186,KRISHCA,SM,21500,16500,76.74
20,1187,KRISHNADEF,SM,9000,9000,100.00
20,1188,KRITI,EQ,2063154,515589,24.99
20,1189,KRITINUT,EQ,122639,53062,43.27
20,1190,KRSNAA,EQ,133716,90327,67.55
20,1191,KSB,EQ,55007,18317,33.30
20,1192,KSCL,EQ,112315,54300,48.35
20,1193,KSL,EQ,421941,167277,39.64
20,1194,KSOLVES,EQ,47669,22064,46.29
20,1195,KTKBANK,EQ,1031060,424218,41.14
20,1196,KUANTUM,EQ,278008,172777,62.15
20,1197,LAGNAM,EQ,89578,54213,60.52
20,1198,LALPATHLAB,EQ,164616,88385,53.69
20,1199,LAMBODHARA,EQ,65603,29864,45.52
20,1200,LANDMARK,EQ,185894,58286,31.35
20,1201,LAOPALA,EQ,374880,175121,46.71
20,1202,LASA,EQ,319655,221843,69.40
20,1203,LATENTVIEW,EQ,1273944,443165,34.79
20,1204,LATTEYS,EQ,286106,184590,64.52
20,1205,LAURUSLABS,EQ,650046,247475,38.07
20,1206,LAWSIKHO,ST,170000,156000,91.76
20,1207,LAXMICOT,EQ,37391,24205,64.73
20,1208,LAXMIMACH,EQ,5060,3290,65.02
20,1209,LEMERITE,SM,379200,144000,37.97
20,1210,LEMONTREE,EQ,3672067,1625034,44.25
20,1211,LEXUS,EQ,138315,76371,55.22
20,1212,LFIC,EQ,34789,16712,48.04
20,1213,LGBBROSLTD,EQ,17914,8911,49.74
20,1214,LGBFORGE,EQ,579617,371797,64.15
20,1215,LGHL,EQ,51,51,100.00
20,1216,LIBAS,EQ,650108,431101,66.31
20,1217,LICHSGFIN,EQ,1639613,651704,39.75
20,1218,LICI,EQ,22872046,5717355,25.00
20,1219,LICMFGOLD,EQ,169,92,54.44
20,1220,LICNETFGSC,EQ,115620,84174,72.80
20,1221,LICNETFN50,EQ,20741,20102,96.92
20,1222,LICNETFSEN,EQ,165,103,62.42
20,1223,LICNFNHGP,EQ,1971,670,33.99
20,1224,LIKHITHA,EQ,470852,231618,49.19
20,1225,LINC,EQ,16673,11016,66.07
20,1226,LINCOLN,EQ,392271,128283,32.70
20,1227,LINDEINDIA,EQ,19416,10838,55.82
20,1228,LIQUID,EQ,140601,125132,89.00
20,1229,LIQUIDBEES,EQ,1963522,1583312,80.64
20,1230,LIQUIDCASE,EQ,456654,448194,98.15
20,1231,LIQUIDETF,EQ,174101,119951,68.90
20,1232,LIQUIDIETF,EQ,646542,275823,42.66
20,1233,LIQUIDSBI,EQ,13126,13019,99.18
20,1234,LLOYDS,SM,14000,9000,64.29
20,1235,LLOYDSENGG,EQ,5041519,3242744,64.32
20,1236,LLOYDSME,EQ,132123,68604,51.92
20,1237,LODHA,EQ,413134,288660,69.87
20,1238,LOKESHMACH,EQ,56368,34382,61.00
20,1239,LORDSCHLO,EQ,34076,13691,40.18
20,1240,LOTUSEYE,EQ,130784,118746,90.80
20,1241,LOVABLE,EQ,145318,66872,46.02
20,1242,LOWVOL,EQ,758,753,99.34
20,1243,LOWVOLIETF,EQ,257431,246103,95.60
20,1244,LOYALTEX,EQ,1196,1050,87.79
20,1245,LPDC,EQ,730417,403029,55.18
20,1246,LRRPL,SM,69000,69000,100.00
20,1247,LT,EQ,3471727,2063516,59.44
20,1248,L&TFH,EQ,6031328,2810672,46.60
20,1249,L&TFIN,N1,2,2,100.00
20,1250,L&TFIN,ND,54,54,100.00
20,1251,L&TFIN,NF,7,7,100.00
20,1252,L&TFIN,NJ,237,237,100.00
20,1253,L&TFIN,NN,1220,1220,100.00
20,1254,LTFOODS,EQ,870372,410438,47.16
20,1255,LTGILTBEES,EQ,1799130,1739868,96.71
20,1256,LTIM,EQ,380430,203653,53.53
20,1257,LTTS,EQ,56853,15718,27.65
20,1258,LUMAXIND,EQ,6415,3674,57.27
20,1259,LUMAXTECH,EQ,325541,166872,51.26
20,1260,LUPIN,EQ,6454212,2659775,41.21
20,1261,LUXIND,EQ,346680,158707,45.78
20,1262,LXCHEM,EQ,644188,266031,41.30
20,1263,LYKALABS,EQ,922311,381985,41.42
20,1264,LYPSAGEMS,EQ,608439,287996,47.33
20,1265,MAANALU,EQ,488370,222694,45.60
20,1266,MADHAVBAUG,SM,12000,11200,93.33
20,1267,MADHUSUDAN,SM,42000,30000,71.43
20,1268,MADRASFERT,EQ,427473,120039,28.08
